measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,India,Male,65 to 69,Ischemic heart disease,Number,2017,100741.284288,132584.284596,75601.985487
Incidence,India,Female,65 to 69,Ischemic heart disease,Number,2017,76414.1298399,101169.288872,56873.7987063
Incidence,India,Male,70 to 74,Ischemic heart disease,Number,2017,94855.312008,117472.803807,77577.6203831
Incidence,India,Female,70 to 74,Ischemic heart disease,Number,2017,75003.9080105,93251.3954192,60950.6904635
Incidence,India,Male,75 to 79,Ischemic heart disease,Number,2017,78903.6462522,105012.093436,58170.1391888
Incidence,India,Female,75 to 79,Ischemic heart disease,Number,2017,71378.616125,96179.2147074,52198.7722692
Incidence,India,Male,80 plus,Ischemic heart disease,Number,2017,87207.8208524,106328.304411,71540.2874266
Incidence,India,Female,80 plus,Ischemic heart disease,Number,2017,88568.2654717,108909.009982,72659.8774839
Incidence,India,Male,40 to 44,Stroke,Number,2017,33169.9711103,39383.3357723,27432.1368802
Incidence,India,Female,40 to 44,Stroke,Number,2017,28071.4359878,33168.0949924,23415.8650199
Incidence,India,Male,45 to 49,Stroke,Number,2017,45829.9218979,56337.1882363,36998.4939815
Incidence,India,Female,45 to 49,Stroke,Number,2017,40118.2571719,49087.0264656,32873.417097
Incidence,India,Male,50 to 54,Stroke,Number,2017,57430.7486495,67016.8677466,49263.4475762
Incidence,India,Female,50 to 54,Stroke,Number,2017,49333.5626263,57515.2026632,42307.4372044
Incidence,India,Male,55 to 59,Stroke,Number,2017,68531.7789674,82024.731096,56863.0970863
Incidence,India,Female,55 to 59,Stroke,Number,2017,57739.134616,69727.4003194,47875.850431
Incidence,India,Male,60 to 64,Stroke,Number,2017,75973.921039,87727.4740362,66261.1235823
Incidence,India,Female,60 to 64,Stroke,Number,2017,66685.1515077,77828.5288851,57796.4152895
Incidence,India,Male,65 to 69,Stroke,Number,2017,75341.9772948,90025.7675111,63238.8734045
Incidence,India,Female,65 to 69,Stroke,Number,2017,68659.2930297,83186.1042853,56670.9618595
Incidence,India,Male,70 to 74,Stroke,Number,2017,60582.0258492,71348.0017211,51555.7146258
Incidence,India,Female,70 to 74,Stroke,Number,2017,62269.7481919,72750.2633389,53263.4029872
Incidence,India,Male,75 to 79,Stroke,Number,2017,42233.9117101,50313.5464526,35068.9407473
Incidence,India,Female,75 to 79,Stroke,Number,2017,56874.4686872,67690.7783053,46822.637735
Incidence,India,Male,80 plus,Stroke,Number,2017,47084.7703104,53519.4811287,41703.2194756
Incidence,India,Female,80 plus,Stroke,Number,2017,71970.3135469,81463.7368187,63563.9614963
Incidence,India,Male,40 to 44,Ischemic heart disease,Number,2012,25077.3752272,32648.6753161,18964.6053073
Incidence,India,Female,40 to 44,Ischemic heart disease,Number,2012,15217.8440617,20517.2231544,10712.2362537
Incidence,India,Male,45 to 49,Ischemic heart disease,Number,2012,39001.0539303,52195.3499647,28296.6412711
Incidence,India,Female,45 to 49,Ischemic heart disease,Number,2012,21185.6394081,29888.4078108,14129.8989841
Incidence,India,Male,50 to 54,Ischemic heart disease,Number,2012,56077.0416876,68186.89773,45252.5453801
Incidence,India,Female,50 to 54,Ischemic heart disease,Number,2012,29495.8425841,37591.163479,22310.4201604
Incidence,India,Male,55 to 59,Ischemic heart disease,Number,2012,73230.0280356,96334.184968,53845.6981226
Incidence,India,Female,55 to 59,Ischemic heart disease,Number,2012,39548.9137709,53257.9617278,27176.0575829
Incidence,India,Male,60 to 64,Ischemic heart disease,Number,2012,94530.9929823,114349.189786,76883.930866
Incidence,India,Female,60 to 64,Ischemic heart disease,Number,2012,57796.6640613,70491.1053815,45810.9305298
Incidence,India,Male,65 to 69,Ischemic heart disease,Number,2012,102712.077038,131610.21033,78774.5262731
Incidence,India,Female,65 to 69,Ischemic heart disease,Number,2012,68201.1125861,88769.8526823,51521.1094325
Incidence,India,Male,70 to 74,Ischemic heart disease,Number,2012,96121.281121,116754.170531,79371.7974513
Incidence,India,Female,70 to 74,Ischemic heart disease,Number,2012,74072.1970091,90853.6326842,61380.5060895
Incidence,India,Male,75 to 79,Ischemic heart disease,Number,2012,77226.2596667,101443.918145,58174.0570133
Incidence,India,Female,75 to 79,Ischemic heart disease,Number,2012,67851.8570524,89708.54479,50334.2125264
Incidence,India,Male,80 plus,Ischemic heart disease,Number,2012,81358.5977629,97898.3566141,67831.4246035
Incidence,India,Female,80 plus,Ischemic heart disease,Number,2012,73262.0583861,88523.8928884,61082.1542958
Incidence,India,Male,40 to 44,Stroke,Number,2012,32232.8611605,37778.4800166,27161.1044344
Incidence,India,Female,40 to 44,Stroke,Number,2012,25193.0141234,29517.8989265,21216.7720919
Incidence,India,Male,45 to 49,Stroke,Number,2012,42941.1726662,51696.2934846,35524.9360239
Incidence,India,Female,45 to 49,Stroke,Number,2012,33937.9989893,41332.5732003,28031.3578835
Incidence,India,Male,50 to 54,Stroke,Number,2012,52349.0769382,60054.2635792,45696.8765169
Incidence,India,Female,50 to 54,Stroke,Number,2012,40752.6211688,47204.3222087,35408.3867347
Incidence,India,Male,55 to 59,Stroke,Number,2012,60070.6589165,70677.6760883,51146.3852451
Incidence,India,Female,55 to 59,Stroke,Number,2012,47290.8286126,56072.1633615,39935.1130949
Incidence,India,Male,60 to 64,Stroke,Number,2012,68644.796969,77866.7615575,61060.2910699
Incidence,India,Female,60 to 64,Stroke,Number,2012,56729.3744178,65098.9889644,50325.0804371
Incidence,India,Male,65 to 69,Stroke,Number,2012,67610.3424626,78094.5081934,58441.2112114
Incidence,India,Female,65 to 69,Stroke,Number,2012,56702.5704696,66275.2475613,48304.699858
Incidence,India,Male,70 to 74,Stroke,Number,2012,53898.5202007,61463.1853274,46871.4349267
Incidence,India,Female,70 to 74,Stroke,Number,2012,56229.8103676,64329.1414784,48887.3418834
Incidence,India,Male,75 to 79,Stroke,Number,2012,35405.308539,40654.823694,30341.5487975
Incidence,India,Female,75 to 79,Stroke,Number,2012,48679.2544714,55941.5678232,41619.9418132
Incidence,India,Male,80 plus,Stroke,Number,2012,39735.4909936,43979.317894,36059.768542
Incidence,India,Female,80 plus,Stroke,Number,2012,55509.5852905,61365.1358385,50370.4396596
Incidence,India,Male,40 to 44,Ischemic heart disease,Number,2011,24978.2982734,32407.8833297,18942.5742409
Incidence,India,Female,40 to 44,Ischemic heart disease,Number,2011,14922.5870349,20197.1821923,10474.0569106
Incidence,India,Male,45 to 49,Ischemic heart disease,Number,2011,38862.3018374,52057.6752242,28242.7680945
Incidence,India,Female,45 to 49,Ischemic heart disease,Number,2011,20545.7612008,28977.6182739,13698.9636311
Incidence,India,Male,50 to 54,Ischemic heart disease,Number,2011,55770.6147494,67554.8732628,45256.2328712
Incidence,India,Female,50 to 54,Ischemic heart disease,Number,2011,28502.3187097,36283.7293076,21549.4297133
Incidence,India,Male,55 to 59,Ischemic heart disease,Number,2011,73478.2587377,96196.954051,54182.1078905
Incidence,India,Female,55 to 59,Ischemic heart disease,Number,2011,38755.7730112,52212.3609908,26643.5731164
Incidence,India,Male,60 to 64,Ischemic heart disease,Number,2011,93914.1231307,113362.195112,76689.7596323
Incidence,India,Female,60 to 64,Ischemic heart disease,Number,2011,56027.2843108,68225.8461817,44632.7431374
Incidence,India,Male,65 to 69,Ischemic heart disease,Number,2011,101989.236026,129589.095156,78179.9800742
Incidence,India,Female,65 to 69,Ischemic heart disease,Number,2011,66691.9567465,86428.5989957,50568.8560045
Incidence,India,Male,70 to 74,Ischemic heart disease,Number,2011,96081.4776324,116438.09887,79703.4271805
Incidence,India,Female,70 to 74,Ischemic heart disease,Number,2011,74222.0962409,90456.3761816,61736.933157
Incidence,India,Male,75 to 79,Ischemic heart disease,Number,2011,77237.1971563,101322.725614,58304.6063973
Incidence,India,Female,75 to 79,Ischemic heart disease,Number,2011,65973.3994163,86545.8239861,49133.9444238
Incidence,India,Male,80 plus,Ischemic heart disease,Number,2011,79529.8238121,95641.1420709,66509.1060245
Incidence,India,Female,80 plus,Ischemic heart disease,Number,2011,69856.4252989,83978.6403733,58353.9834893
Incidence,India,Male,40 to 44,Stroke,Number,2011,31804.8995704,37216.9989421,26828.7015017
Incidence,India,Female,40 to 44,Stroke,Number,2011,24640.203351,28868.8669876,20801.8123257
Incidence,India,Male,45 to 49,Stroke,Number,2011,42254.164344,50637.9351283,35081.9698863
Incidence,India,Female,45 to 49,Stroke,Number,2011,32844.7807243,39973.0734685,27078.3027414
Incidence,India,Male,50 to 54,Stroke,Number,2011,51052.8806375,58430.2797968,44686.3083146
Incidence,India,Female,50 to 54,Stroke,Number,2011,39140.7024043,45248.7934765,34021.0765651
Incidence,India,Male,55 to 59,Stroke,Number,2011,58846.5326978,68637.0458773,50403.7895042
Incidence,India,Female,55 to 59,Stroke,Number,2011,45887.8617998,54160.2627727,38830.5643457
Incidence,India,Male,60 to 64,Stroke,Number,2011,66615.4868889,75181.906394,59416.9374316
Incidence,India,Female,60 to 64,Stroke,Number,2011,54322.4936049,61964.757768,48252.4385006
Incidence,India,Male,65 to 69,Stroke,Number,2011,65813.9225153,75895.855573,57140.0790975
Incidence,India,Female,65 to 69,Stroke,Number,2011,54778.1729438,63854.3188472,46929.8207526
Incidence,India,Male,70 to 74,Stroke,Number,2011,52864.1591106,60172.9580614,46252.0718326
Incidence,India,Female,70 to 74,Stroke,Number,2011,55582.0580895,63293.6389693,48444.6574549
Incidence,India,Male,75 to 79,Stroke,Number,2011,34710.7003827,39766.7732034,29848.5347277
Incidence,India,Female,75 to 79,Stroke,Number,2011,46527.3151138,53356.6810956,39954.9620204
Incidence,India,Male,80 plus,Stroke,Number,2011,38301.3371645,42301.4079069,34910.3807063
Incidence,India,Female,80 plus,Stroke,Number,2011,52268.4473362,57535.8748073,47653.4301857
Incidence,India,Male,40 to 44,Ischemic heart disease,Number,2016,25264.58539,32961.9908644,18886.7746442
Incidence,India,Female,40 to 44,Ischemic heart disease,Number,2016,16382.2018141,21957.0864388,11614.2952444
Incidence,India,Male,45 to 49,Ischemic heart disease,Number,2016,40190.0888629,53882.1045668,28727.770425
Incidence,India,Female,45 to 49,Ischemic heart disease,Number,2016,24321.9596377,33712.9749172,16425.7575929
Incidence,India,Male,50 to 54,Ischemic heart disease,Number,2016,56865.1246935,69724.6464702,45039.5534996
Incidence,India,Female,50 to 54,Ischemic heart disease,Number,2016,33938.8645229,43160.5967511,25514.4439916
Incidence,India,Male,55 to 59,Ischemic heart disease,Number,2016,73987.0619443,97588.4601771,53358.0080023
Incidence,India,Female,55 to 59,Ischemic heart disease,Number,2016,45109.1337156,60505.3352628,31217.5221941
Incidence,India,Male,60 to 64,Ischemic heart disease,Number,2016,93191.9345812,113245.48922,74651.1883373
Incidence,India,Female,60 to 64,Ischemic heart disease,Number,2016,63141.8808305,77360.8792821,49907.4271942
Incidence,India,Male,65 to 69,Ischemic heart disease,Number,2016,101625.447252,133558.847861,76673.9758551
Incidence,India,Female,65 to 69,Ischemic heart disease,Number,2016,74638.031277,98523.1632459,55714.0458607
Incidence,India,Male,70 to 74,Ischemic heart disease,Number,2016,94907.6137267,116779.339258,77886.9864484
Incidence,India,Female,70 to 74,Ischemic heart disease,Number,2016,73698.1307263,91534.9124206,60110.2338621
Incidence,India,Male,75 to 79,Ischemic heart disease,Number,2016,78741.092879,104212.865497,58292.0178468
Incidence,India,Female,75 to 79,Ischemic heart disease,Number,2016,71688.1201993,96619.9886142,52427.1075803
Incidence,India,Male,80 plus,Ischemic heart disease,Number,2016,86225.4536649,104929.051488,70787.0252764
Incidence,India,Female,80 plus,Ischemic heart disease,Number,2016,85919.2751154,105272.969243,70671.5017276
Incidence,India,Male,40 to 44,Stroke,Number,2016,32984.7998873,39007.4515753,27381.6300999
Incidence,India,Female,40 to 44,Stroke,Number,2016,27350.4276618,32255.5134161,22909.8875643
Incidence,India,Male,45 to 49,Stroke,Number,2016,45501.2995913,55793.3116161,37010.9025187
Incidence,India,Female,45 to 49,Stroke,Number,2016,38908.7709806,47531.2318307,31890.9227571
Incidence,India,Male,50 to 54,Stroke,Number,2016,56525.0925939,65628.957768,48760.6884362
Incidence,India,Female,50 to 54,Stroke,Number,2016,47471.6328078,55282.5859684,40792.281463
Incidence,India,Male,55 to 59,Stroke,Number,2016,66739.5121345,79573.1429887,55703.401466
Incidence,India,Female,55 to 59,Stroke,Number,2016,55417.0826902,66494.3921893,46065.0159082
Incidence,India,Male,60 to 64,Stroke,Number,2016,75068.2805978,86439.2882569,65678.4460072
Incidence,India,Female,60 to 64,Stroke,Number,2016,65050.3026191,75670.0710163,56702.1791685
Incidence,India,Male,65 to 69,Stroke,Number,2016,73733.420675,87530.1594054,62229.8963006
Incidence,India,Female,65 to 69,Stroke,Number,2016,65895.7282286,79217.8216774,54793.2088339
Incidence,India,Male,70 to 74,Stroke,Number,2016,58750.0949339,68708.1034829,50277.1403045
Incidence,India,Female,70 to 74,Stroke,Number,2016,59949.2783195,69689.1887914,51333.8806361
Incidence,India,Male,75 to 79,Stroke,Number,2016,40578.8999611,47988.4873394,33900.2176673
Incidence,India,Female,75 to 79,Stroke,Number,2016,55826.290522,66023.5353404,46389.925474
Incidence,India,Male,80 plus,Stroke,Number,2016,45484.3270641,51251.5678994,40551.7024382
Incidence,India,Female,80 plus,Stroke,Number,2016,68809.9424551,77524.7949015,61166.3190737
Incidence,India,Male,40 to 44,Ischemic heart disease,Number,2015,25172.8093182,32837.1872643,18895.122632
Incidence,India,Female,40 to 44,Ischemic heart disease,Number,2015,16047.0066554,21454.0222337,11378.3943329
Incidence,India,Male,45 to 49,Ischemic heart disease,Number,2015,39857.3316027,53385.9388743,28677.6141289
Incidence,India,Female,45 to 49,Ischemic heart disease,Number,2015,23486.51049,32686.9121353,15813.1095065
Incidence,India,Male,50 to 54,Ischemic heart disease,Number,2015,56694.6992949,69203.8490086,45101.920843
Incidence,India,Female,50 to 54,Ischemic heart disease,Number,2015,32747.7020771,41704.4710808,24617.1183628
Incidence,India,Male,55 to 59,Ischemic heart disease,Number,2015,73685.1473923,97059.2796653,53299.8265153
Incidence,India,Female,55 to 59,Ischemic heart disease,Number,2015,43481.2467875,58249.5867863,29973.0888211
Incidence,India,Male,60 to 64,Ischemic heart disease,Number,2015,95098.118691,115111.035527,76979.4755564
Incidence,India,Female,60 to 64,Ischemic heart disease,Number,2015,62778.9730306,76752.775225,49447.6714933
Incidence,India,Male,65 to 69,Ischemic heart disease,Number,2015,100770.336915,131807.956892,76509.015443
Incidence,India,Female,65 to 69,Ischemic heart disease,Number,2015,71799.4807948,94480.7330504,53740.9782694
Incidence,India,Male,70 to 74,Ischemic heart disease,Number,2015,95569.003182,117115.028147,78665.5058695
Incidence,India,Female,70 to 74,Ischemic heart disease,Number,2015,73447.4086155,91199.9788273,60141.6405453
Incidence,India,Male,75 to 79,Ischemic heart disease,Number,2015,78218.0211968,103161.261969,58196.1617106
Incidence,India,Female,75 to 79,Ischemic heart disease,Number,2015,71513.630635,95901.2954839,52436.913474
Incidence,India,Male,80 plus,Ischemic heart disease,Number,2015,85296.2638153,103390.391979,70093.6934674
Incidence,India,Female,80 plus,Ischemic heart disease,Number,2015,83128.4086498,101316.381103,68503.4723182
Incidence,India,Male,40 to 44,Stroke,Number,2015,32838.8493263,38752.132388,27360.7286762
Incidence,India,Female,40 to 44,Stroke,Number,2015,26734.8902709,31453.7415256,22492.7746995
Incidence,India,Male,45 to 49,Stroke,Number,2015,44964.1229894,54801.3698828,36788.840879
Incidence,India,Female,45 to 49,Stroke,Number,2015,37630.6848698,46031.7670202,30848.9832974
Incidence,India,Male,50 to 54,Stroke,Number,2015,55626.4109251,64261.6844815,48187.9884255
Incidence,India,Female,50 to 54,Stroke,Number,2015,45737.7145519,53219.6565118,39366.1350568
Incidence,India,Male,55 to 59,Stroke,Number,2015,64934.7707894,77226.6478372,54395.6225543
Incidence,India,Female,55 to 59,Stroke,Number,2015,53154.2681807,63720.2394433,44465.5729445
